mmsi,type
228228800,30
227635680,30
210989000,70
636092263,79
636016268,70
230617000,70
227710560,36
228797000,36
256755000,80
227303430,30
227270000,0
227621940,30
228051000,52
273376520,31
227641920,30
227322670,30
228218700,30
227318010,0
636092614,
636015106,
228133000,
311018500,
227004390,
228355800,
372400000,
228041600,
232616000,
538005407,
269101930,
227574020,
228208800,
227113100,
256765000,
356071000,
227114300,
228150000,
305851000,
309165000,
257022000,
356904000,
227981000,
257844000,
235076245,
305659000,
227702670,
235091363,
227104210,
228302900,
235087041,
227577000,
477219900,
246388000,
304091000,
249050000,
227705102,
228954000,
229472000,
245068000,
306354000,
248730000,
227666970,
477444500,
227546740,
227300000,
244630782,
228394000,
306872000,
228186700,
308986000,
227611930,
248439000,
228037600,
227008170,
227127900,
373124000,
227580520,
227071310,
227315110,
227590030,
249297000,
229639000,
227640710,
273358260,
273358930,
228064900,
212735000,
228068600,
256284000,
304010909,
228032800,
564446000,
227628730,
228160000,
228762000,
226216000,
228332000,
227310000,
311368000,
227640190,
227588970,
305600000,
256462000,
259019000,
227635650,
227843000,
227436000,
228211900,
