"mmsi";"to_date"
227379770;"2015-06-23 00:00:00"
227379790;"2015-06-23 00:00:00"
227379820;"2015-06-23 00:00:00"
227379830;"2015-06-23 00:00:00"
227379850;"2015-06-23 00:00:00"
227379870;"2015-06-23 00:00:00"
227379880;"2015-06-23 00:00:00"
227379890;"2015-06-23 00:00:00"
227379910;"2015-06-23 00:00:00"
227379940;"2015-06-23 00:00:00"
228067800;"2015-06-23 00:00:00"
227401450;"2015-06-23 00:00:00"
227379970;"2015-06-23 00:00:00"
227379980;"2015-06-23 00:00:00"
227380010;"2015-06-23 00:00:00"
347016020;"2015-06-23 00:00:00"
227380030;"2015-06-23 00:00:00"
228067900;"2015-06-23 00:00:00"
227380040;"2015-06-23 00:00:00"
227380060;"2015-06-23 00:00:00"
227380070;"2015-06-23 00:00:00"
227380080;"2015-06-23 00:00:00"
227380090;"2015-06-23 00:00:00"
227380110;"2015-06-23 00:00:00"
227382860;"2015-06-23 00:00:00"
329014960;"2015-06-23 00:00:00"
227380120;"2015-06-23 00:00:00"
227380130;"2015-06-23 00:00:00"
227380140;"2015-06-23 00:00:00"
227380150;"2015-06-23 00:00:00"
227379920;"2015-06-23 00:00:00"
227379770;"2015-06-23 00:00:00"
227379790;"2015-06-23 00:00:00"
227379820;"2015-06-23 00:00:00"
227379830;"2015-06-23 00:00:00"
227379850;"2015-06-23 00:00:00"
227379870;"2015-06-23 00:00:00"
227379880;"2015-06-23 00:00:00"
227379890;"2015-06-23 00:00:00"
227379910;"2015-06-23 00:00:00"
227379940;"2015-06-23 00:00:00"
228067800;"2015-06-23 00:00:00"
227401450;"2015-06-23 00:00:00"
227379970;"2015-06-23 00:00:00"
227379980;"2015-06-23 00:00:00"
227380010;"2015-06-23 00:00:00"
347016020;"2015-06-23 00:00:00"
227380030;"2015-06-23 00:00:00"
228067900;"2015-06-23 00:00:00"
227380040;"2015-06-23 00:00:00"
227380060;"2015-06-23 00:00:00"
227380070;"2015-06-23 00:00:00"
227380080;"2015-06-23 00:00:00"
227380090;"2015-06-23 00:00:00"
227380110;"2015-06-23 00:00:00"
227382860;"2015-06-23 00:00:00"
329014960;"2015-06-23 00:00:00"
227380120;"2015-06-23 00:00:00"
227380130;"2015-06-23 00:00:00"
227380140;"2015-06-23 00:00:00"
227380150;"2015-06-23 00:00:00"
227379920;"2015-06-23 00:00:00"
227379770;"2015-06-23 00:00:00"
227379790;"2015-06-23 00:00:00"
227379820;"2015-06-23 00:00:00"
227379830;"2015-06-23 00:00:00"
227379850;"2015-06-23 00:00:00"
227379870;"2015-06-23 00:00:00"
227379880;"2015-06-23 00:00:00"
227379890;"2015-06-23 00:00:00"
227379910;"2015-06-23 00:00:00"
227379940;"2015-06-23 00:00:00"
228067800;"2015-06-23 00:00:00"
227401450;"2015-06-23 00:00:00"
227379970;"2015-06-23 00:00:00"
227379980;"2015-06-23 00:00:00"
227380010;"2015-06-23 00:00:00"
347016020;"2015-06-23 00:00:00"
227380030;"2015-06-23 00:00:00"
228067900;"2015-06-23 00:00:00"
227380040;"2015-06-23 00:00:00"
227380060;"2015-06-23 00:00:00"
227380070;"2015-06-23 00:00:00"
227380080;"2015-06-23 00:00:00"
227380090;"2015-06-23 00:00:00"
227380110;"2015-06-23 00:00:00"
227382860;"2015-06-23 00:00:00"
329014960;"2015-06-23 00:00:00"
227380120;"2015-06-23 00:00:00"
227380130;"2015-06-23 00:00:00"
227380140;"2015-06-23 00:00:00"
227380150;"2015-06-23 00:00:00"
227379920;"2015-06-23 00:00:00"
